municipio_cod;municipio;pop_19;homicidio_doloso_2;nº_de_vitimas_em_homicidio_doloso_3;homicidio_doloso_por_acidente_de_transito;nº_de_vitimas_em_homicidio_doloso_por_acidente_de_transito;homicidio_culposo_por_acidente_de_transito;homicidio_culposo_outros;tentativa_de_homicidio;lesao_corporal_seguida_de_morte;lesao_corporal_dolosa;lesao_corporal_culposa_por_acidente_de_transito;lesao_corporal_culposa_outras;latrocinio;nº_de_vitimas_em_latrocinio;total_de_estupro_4;estupro;estupro_de_vulneravel;total_de_roubo_outros_1;roubo_outros;roubo_de_veiculo;roubo_a_banco;roubo_de_carga;furto_outros;furto_de_veiculo
508;Salmourão;    5300;  1;  1;0;0;  0; 0;  1; 0;   24;    3;   2; 0; 0;   2;  0;   2;     0;     0;    0; 0;   0;    14;    0
509;Saltinho;    8286;  0;  0;0;0;  0; 1;  0; 0;   27;   10;   2; 0; 0;   2;  0;   2;     4;     4;    2; 0;   0;    64;    9
510;Salto;  118663;  5;  5;0;0;  3; 1;  9; 0;  245;   72;   2; 1; 1;  23;  6;  17;   131;   124;   34; 0;   7;   616;  248
511;Salto de Pirapora;   45422;  3;  3;0;0;  6; 0;  2; 0;   60;   19;   2; 0; 0;  14;  2;  12;    42;    42;    8; 0;   0;   285;   47
512;Salto Grande;    9331;  0;  0;0;0;  4; 0;  0; 0;   52;    4;   0; 1; 1;   6;  1;   5;     5;     5;    2; 0;   0;   103;    3
513;Sandovalina;    4302;  0;  0;0;0;  0; 0;  0; 0;   20;    6;   0; 0; 0;   3;  1;   2;     1;     1;    0; 0;   0;    39;    3
514;Santa Adélia;   15480;  0;  0;0;0;  3; 0;  0; 0;   61;   27;   2; 0; 0;   8;  2;   6;     7;     5;    0; 0;   2;    40;    7
515;Santa Albertina;    6008;  1;  1;0;0;  2; 0;  1; 0;   28;    9;   0; 0; 0;   5;  0;   5;     2;     2;    0; 0;   0;    43;    2
516;Santa Bárbara d'Oeste;  193475;  7;  9;0;0; 18; 4;  8; 1;  472;  407;   8; 0; 0;  10;  3;   7;   428;   407;   80; 0;  21;   141;  564
517;Santa Branca;   14788;  1;  1;0;0;  1; 0;  1; 0;   64;    4;   1; 0; 0;   5;  3;   2;    14;    14;    5; 0;   0;   112;    7
518;Santa Clara d'Oeste;    2115;  0;  0;0;0;  0; 0;  0; 0;   12;    4;   0; 0; 0;   0;  0;   0;     0;     0;    0; 0;   0;    11;    2
519;Santa Cruz da Conceição;    4503;  0;  0;0;0;  2; 0;  0; 0;   13;   10;   0; 0; 0;   2;  0;   2;     5;     3;    2; 0;   2;    44;    1
520;Santa Cruz da Esperança;    2139;  0;  0;0;0;  1; 0;  0; 0;    8;    0;   0; 0; 0;   0;  0;   0;     0;     0;    0; 0;   0;    31;    0
521;Santa Cruz das Palmeiras;   34361;  3;  3;0;0;  2; 0;  6; 0;  120;   21;   1; 0; 0;  13;  5;   8;    33;    31;    5; 0;   2;   239;   10
522;Santa Cruz do Rio Pardo;   47673;  0;  0;0;0;  6; 0;  1; 0;  200;  159;   6; 0; 0;  10;  0;  10;    15;    11;    3; 0;   4;   383;   16
523;Santa Ernestina;    5599;  1;  1;0;0;  1; 0;  0; 0;   14;    1;   0; 0; 0;   2;  1;   1;     6;     5;    1; 0;   1;    32;    3
524;Santa Fé do Sul;   32322;  2;  2;0;0;  1; 0;  5; 0;  202;  209;   6; 0; 0;  21;  3;  18;    23;    23;    0; 0;   0;   343;   16
525;Santa Gertrudes;   26898;  1;  1;0;0;  3; 0;  2; 1;   85;   72;   0; 0; 0;   6;  2;   4;    36;    33;   22; 0;   3;   138;   19
526;Santa Isabel;   57386;  4;  4;0;0;  4; 0;  3; 0;  184;   71;   5; 0; 0;  18;  6;  12;   116;   102;   42; 0;  14;   349;   58
527;Santa Lúcia;    8817;  0;  0;0;0;  0; 0;  1; 1;   15;    0;   1; 0; 0;   3;  1;   2;     3;     3;    0; 0;   0;    31;    1
528;Santa Maria da Serra;    6173;  0;  0;0;0;  0; 0;  3; 0;   36;    5;   0; 0; 0;   3;  0;   3;     5;     5;    4; 0;   0;    43;    1
529;Santa Mercedes;    2939;  0;  0;0;0;  1; 0;  0; 0;   11;    6;   1; 0; 0;   4;  0;   4;     1;     1;    0; 0;   0;    18;    0
530;Santa Rita do Passa Quatro;   27557;  3;  4;0;0;  6; 1;  1; 0;   96;   16;   1; 0; 0;   6;  2;   4;    50;    33;    5; 0;  17;   292;    7
531;Santa Rita d'Oeste;    2498;  0;  0;0;0;  1; 0;  0; 0;    7;    5;   0; 0; 0;   2;  0;   2;     0;     0;    0; 0;   0;     4;    2
532;Santa Rosa de Viterbo;   26540;  0;  0;0;0;  1; 0;  4; 0;  107;   27;   3; 0; 0;   4;  0;   4;    11;    11;    3; 0;   0;   141;    6
533;Santa Salete;    1545;  0;  0;0;0;  0; 0;  0; 0;    6;    4;   0; 0; 0;   0;  0;   0;     0;     0;    0; 0;   0;    10;    0
534;Santana da Ponte Pensa;    1487;  0;  0;0;0;  0; 0;  0; 0;    7;    1;   0; 0; 0;   0;  0;   0;     0;     0;    0; 0;   0;     5;    0
535;Santana de Parnaíba;  139447;  3;  3;0;0;  5; 1;  5; 0;  163;  210;   3; 0; 0;  59; 11;  48;   164;   153;   27; 0;  11;   568;   87
536;Santo Anastácio;   20878;  1;  1;0;0;  1; 0;  0; 0;   70;   52;   0; 0; 0;   5;  0;   5;     3;     3;    0; 0;   0;    66;    0
537;Santo André;  718773; 51; 52;1;1; 27; 3; 22; 2; 1363;  781;  32; 1; 1; 119; 29;  90;   661;  6523; 1715; 0;  87;  6287; 4345
